Keyword,Intent,Volume,Keyword Difficulty,CPC (USD),SERP Features
molestia al tragar como si tuviera algo,Informational,590,30.0,0.0,"Sitelinks, AI Overview, Image, Image pack, Video, People also ask, Related searches"
porque no me da hambre y me siento lleno,Informational,480,31.0,0.0,"Sitelinks, AI Overview, Image, Image pack, Video, Related searches"
disfagia sintomas,Informational,480,15.0,0.0,"AI Overview, Image, Image pack, Video, Video carousel, Related searches"
porque siento como si tuviera algo atorado en la garganta,Informational,480,27.0,0.0,"AI Overview, Image, Image pack, Video, People also ask, Related searches"
porque siento una bola en la garganta,Informational,480,17.0,0.0,"AI Overview, Image, Image pack, Video, People also ask"
porque siento que tengo algo atorado en la garganta,Informational,480,23.0,0.0,"AI Overview, Image, Image pack, Video, Related searches"
porque siento un nudo en la garganta,Informational,480,22.0,0.0,"Sitelinks, AI Overview, Image, Image pack, Video, People also ask, Related searches"
prueba de deglucion,Informational,390,24.0,0.0,"AI Overview, Image, Image pack, Video, People also ask, Related searches"
disfagia por ansiedad,Informational,390,19.0,0.15,"AI Overview, Image, Image pack, Video, People also ask, Related searches"
se me cierra la garganta y no puedo hablar,Informational,390,32.0,0.0,"Sitelinks, AI Overview, Image, Image pack, Video, People also ask, Related searches"
qué significa deglutir,Informational,390,28.0,0.0,"AI Overview, Instant answer, Video, Related searches"
disfagia significado,Informational,390,37.0,0.0,"Image, Video, Video carousel, Knowledge panel, Related searches"
disfagia causas,Informational,390,26.0,0.0,"AI Overview, Image, Image pack, Video, Video carousel, Related searches"
que significa deglutir,Informational,390,35.0,0.0,"Video, People also ask, Knowledge panel, Related searches"
porque se me cierra la garganta,Informational,390,33.0,0.0,"Sitelinks, AI Overview, Image, Video, Related searches"
sensacion rara en el pecho y garganta,Informational,390,33.0,0.0,"Featured snippet, Image, Image pack, Video, Video carousel, People also ask, Related searches, Ads top, Ads bottom"
siento un nudo en la garganta,Informational,320,22.0,0.0,"AI Overview, Image, Image pack, Video, Related searches"
disfalgia,Informational,320,43.0,0.0,"Sitelinks, AI Overview, Image, Image pack, Video, Video carousel, People also ask, Related searches"
fagia,Informational,320,35.0,0.0,"Instant answer, Image pack, Video, People also ask, Knowledge panel, Related searches"
trastorno de deglucion,Informational,320,28.0,0.0,"Sitelinks, AI Overview, Image, Image pack, Video, Video carousel, Related searches"
dificultad para deglutir,Informational,320,29.0,0.0,"AI Overview, Image, Video, Video carousel, People also ask, Related searches"
siento algo atorado en la garganta y eructo mucho,Informational,320,28.0,0.0,"AI Overview, Image pack, Video, People also ask"
tipos de disfagia,Informational,320,16.0,0.0,"AI Overview, Image, Image pack, Video, Video carousel, Related searches"
se me cierra la garganta,Informational,320,34.0,0.0,"AI Overview, Image, Image pack, Video, Related searches"
porque siento la comida en la garganta,Informational,320,33.0,0.0,"AI Overview, Image, Image pack, Video, Video carousel, People also ask, Related searches"
porque siento algo en la garganta,Informational,320,34.0,0.0,"AI Overview, Image, Image pack, Video, People also ask, Related searches"
como curar la disfagia nerviosa,Informational,320,19.0,0.0,"Featured snippet, Sitelinks, Image, Image pack, Video, Related searches"
tratamiento para la disfagia,Informational,320,20.0,0.11,"AI Overview, Image, Image pack, Video, Video carousel, Related searches"
diafagia,Informational,320,38.0,0.0,"Sitelinks, AI Overview, Image, Image pack, Video, Related searches"
me duele al pasar la saliva,Informational,320,35.0,0.14,"AI Overview, Image, Video, Related searches"
causas de disfagia,Informational,260,25.0,0.0,"AI Overview, Image, Image pack, Video, Video carousel, Related searches"
dolor en el pecho al tragar,Informational,260,31.0,0.0,"AI Overview, Image, Image pack, Video, Related searches"
siento que tengo algo atorado en la garganta,Informational,260,30.0,0.0,"AI Overview, Image, Image pack, Video, People also ask, Related searches"
por que siento un nudo en la garganta,Informational,260,20.0,0.0,"AI Overview, Image, Image pack, Video, Related searches"
dificultad para tragar alimentos,Informational,260,25.0,0.0,"AI Overview, Image, Image pack, Video, People also ask, Related searches"
siento la comida en la garganta,Informational,260,33.0,0.0,"AI Overview, Image, Image pack, Video, People also ask, Related searches"
globo histerico sintomas,Informational,260,35.0,0.0,"Sitelinks, AI Overview, Image, Image pack, Video, People also ask, Related searches"
orofaringea,Informational,260,22.0,0.0,"AI Overview, Image, Image pack, Video, People also ask, Related searches"
porque siento que se me cierra la garganta,Informational,260,29.0,0.0,"Sitelinks, AI Overview, Image, Video, Related searches"
carraspera y sensacion de tener algo en la garganta,Informational,260,49.0,0.0,"Featured snippet, Sitelinks, Image, Video, Video carousel"
porque me ahogo con mi saliva constantemente,Informational,260,20.0,0.0,"AI Overview, Image, Video, People also ask, Related searches"
siento como si tuviera algo atorado en la garganta,Informational,260,29.0,0.0,"AI Overview, Image, Image pack, Video, People also ask, Related searches"
sensacion de nudo en la garganta,Informational,260,28.0,0.0,"AI Overview, Image, Image pack, Video, Related searches"
se me regresa la comida a la garganta,Informational,210,39.0,0.0,"Featured snippet, Image, Video, Video carousel, People also ask, Related searches"
sintomas de disfagia,Informational,210,18.0,0.0,"AI Overview, Image, Image pack, Video, People also ask, Related searches"
siento algo en la garganta,Informational,210,33.0,0.0,"AI Overview, Image, Image pack, Video, People also ask, Related searches"
que medicamento es bueno para la disfagia,Informational,210,19.0,0.0,"Sitelinks, AI Overview, Image, Image pack, Video, Related searches"
dificultad para tragar saliva,Informational,210,22.0,0.0,"Sitelinks, AI Overview, Image, Image pack, Video, Related searches"
dolor al tragar término médico,Informational,210,36.0,0.0,"AI Overview, Image, Image pack, Video, Related searches"
como saber si se te fue comida a los pulmones,Informational,210,20.0,0.0,"AI Overview, Image, Image pack, Video, Related searches"
como se dice tragar o comer,Informational,210,30.0,0.0,"AI Overview, Image pack, Video, Video carousel, Short videos, People also ask, Related searches"
porque se cierra la garganta de repente,Informational,210,31.0,0.0,"Sitelinks, AI Overview, Image, Image pack, Video, Video carousel, Related searches"
porque se siente algo atorado en la garganta,Informational,210,30.0,0.0,"AI Overview, Image, Image pack, Video, People also ask"
por que se me cierra la garganta,Informational,210,35.0,0.0,"AI Overview, Image, Video, People also ask, Related searches"
disfagia definicion,Informational,210,17.0,0.0,"AI Overview, Image, Image pack, Video, People also ask, Related searches"
sensacion de flema en la garganta ansiedad,Informational,210,25.0,0.0,"AI Overview, Image, Video, Video carousel, Related searches"
porque tengo hambre y me da asco la comida,Informational,210,32.0,0.0,"Featured snippet, Image, Video, People also ask, Related searches"
dolor al tragar termino medico,Informational,210,31.0,0.0,"AI Overview, Image, Image pack, Video, People also ask, Related searches"
sensacion de ahogo en la garganta,Informational,210,27.0,0.0,"AI Overview, Image, Image pack, Video, Video carousel, Related searches"
porque siento como algo atorado en la garganta,Informational,210,31.0,0.0,"AI Overview, Image, Video, Related searches"
que hacer si siento algo atorado en la garganta,Informational,210,34.0,0.0,"Sitelinks, AI Overview, Image, Image pack, Video, Related searches"
porque siento algo atorado en el pecho,Informational,210,43.0,0.0,"Sitelinks, AI Overview, Image, Video, People also ask"
como quitar algo atorado en la garganta,Informational,170,29.0,0.0,"Sitelinks, AI Overview, Image, Image pack, Video, Related searches"
disfagia lusoria,Informational,170,23.0,0.0,"AI Overview, Image, Image pack, Video, People also ask, Related searches"
porque se me atora la comida en la garganta,Informational,170,19.0,0.0,"AI Overview, Image, Image pack, Video, Video carousel, People also ask"
nudo en la garganta por ansiedad,Informational,170,21.0,0.0,"AI Overview, Image, Image pack, Video, Related searches"
ansiedad dificultad para tragar,Informational,170,15.0,0.15,"AI Overview, Image, Video, Related searches"
problemas de deglucion,Informational,170,31.0,0.0,"Sitelinks, AI Overview, Image, Image pack, Video, Video carousel, Related searches"
que es cuando sientes algo atorado en la garganta,Informational,170,27.0,0.0,"AI Overview, Image, Image pack, Video, Related searches"
porque se atora la comida en la garganta,Informational,170,19.0,0.0,"AI Overview, Image, Image pack, Ads bottom"
siento algo en la garganta como una bola,Informational,170,19.0,0.0,"AI Overview, Image, Image pack, Video, Related searches"
por que siento que tengo algo atorado en la garganta,Informational,170,26.0,0.0,"AI Overview, Image, Image pack, Video, Related searches"
se me cerro la garganta,Informational,170,31.0,0.0,"AI Overview, Image, Image pack, Video, Related searches"
calambre en la garganta,Informational,170,35.0,0.0,"Sitelinks, AI Overview, Image, Image pack, Video, Related searches"
porque se me regresa la comida despues de comer,Informational,170,26.0,0.0,"AI Overview, Image, Video carousel, People also ask, Related searches, Ads middle"
que hacer cuando se te cierra la garganta,Informational,170,30.0,0.16,"AI Overview, Image, Image pack, Video, Video carousel, People also ask, Related searches"
me duele al tragar saliva,Informational,170,34.0,0.0,"AI Overview, Image, Image pack, Video, People also ask, Related searches"
disfagia pdf,"Informational, Commercial",170,17.0,0.0,"Image, Related searches"
sensacion de algo en la garganta,Informational,170,29.0,0.0,"AI Overview, Image, Video, People also ask, Related searches"
porque me duele al tragar saliva,Informational,170,39.0,0.0,"AI Overview, Image, Video, People also ask, Related searches"
que es deglutir una pastilla,Informational,170,23.0,0.0,"AI Overview, Image, Video, People also ask, Related searches"
se me cerró la garganta,Informational,170,38.0,0.0,"AI Overview, Image, Video, People also ask, Related searches"
difagia,Informational,170,26.0,0.0,"AI Overview, Image, Image pack, Video, Video carousel, Related searches"
odinofagia definicion,Informational,170,24.0,0.0,"Sitelinks, AI Overview, Image, Image pack, Video, People also ask, Related searches"
garganta cerrada sin dolor,Informational,170,45.0,0.0,"Featured snippet, Sitelinks, Image, Image pack, Video, People also ask, Related searches"
un nudo en la garganta,Informational,170,30.0,0.0,"AI Overview, Image, Image pack, Video, People also ask, Related searches"
sensacion de comida en la garganta,Informational,140,15.0,0.0,"Sitelinks, AI Overview, Image, Image pack, Video, Video carousel, People also ask, Related searches"
dificultad para tragar termino medico,Informational,140,26.0,0.0,"AI Overview, Image, Video, Video carousel, Related searches"
sentir algo en la garganta,Informational,140,28.0,0.0,"AI Overview, Image, Image pack, Video, Related searches"
porque se siente un nudo en la garganta,Informational,140,23.0,0.0,"AI Overview, Image, Image pack, Video, Related searches"
disfagia nerviosa,Informational,140,10.0,0.0,"Sitelinks, AI Overview, Image, Image pack, Video, Related searches"
trague saliva,Informational,140,22.0,0.0,"AI Overview, Image, Image pack, Video, Related searches"
disfragia,Informational,140,22.0,0.0,"Sitelinks, Image, Image pack, Video, Video carousel, People also ask, Related searches"
siento como si tuviera algo atorado en el pecho,Informational,140,40.0,0.0,"AI Overview, Image, Image pack, Video, Related searches, Ads bottom"
por que siento la comida en la garganta,Informational,140,37.0,0.0,"Sitelinks, AI Overview, Image, Image pack, Video, Video carousel, People also ask, Related searches"
disfagia en adulto mayor,Informational,140,19.0,0.0,"AI Overview, Image, Video, Video carousel, Related searches"
enfermedad que no digiere la comida,Informational,140,33.0,0.0,"Sitelinks, AI Overview, Image, Image pack, Video, People also ask, Related searches"
sensacion de globo en la garganta,Informational,140,31.0,0.0,"AI Overview, Image, Image pack, Video, Related searches"
sensación de globo en la garganta,Informational,140,35.0,0.0,"Featured snippet, Sitelinks, Image, Image pack, Video, People also ask, Related searches"
por que se me regresa la comida,Informational,140,39.0,0.0,"AI Overview, Image, Image pack, Video, Video carousel, Related searches"
obstruccion esofagica,Informational,140,20.0,0.0,"AI Overview, Image, Image pack, Video, Related searches"
porque siento que me ahogo,Informational,140,19.0,0.0,"AI Overview, Image, Image pack, Video, Video carousel, Related searches"
toso y se me cierra la garganta,Informational,140,31.0,0.0,"AI Overview, Image, Image pack, Video, Video carousel, Related searches"
que es disfagia en medicina,Informational,140,28.0,0.0,"AI Overview, Image, Video, Video carousel, Related searches"
tragar saliva,Informational,140,31.0,0.0,"AI Overview, Image, Image pack, Video, Video carousel, Related searches"
sensacion de garganta cerrada,Informational,140,31.0,0.0,"Sitelinks, AI Overview, Image, Image pack, Video, Related searches"
sensacion de tener algo atorado en el pecho,Informational,140,42.0,0.0,"AI Overview, Image, Image pack, Video, People also ask, Related searches"
porque se te cierra la garganta,Informational,140,37.0,0.0,"Sitelinks, AI Overview, Image, Image pack, Video, Video carousel, Related searches"
disfagia en el adulto mayor,Informational,140,19.0,0.0,"AI Overview, Image, Video, Video carousel, Related searches"
siento la garganta cerrada,Informational,140,33.0,0.0,"Sitelinks, AI Overview, Image, Image pack, Video, People also ask, Related searches"
odinofagia significado,Informational,140,22.0,0.0,"Sitelinks, AI Overview, Image, Video, Related searches"
por qué siento que tengo algo atorado en la garganta,Informational,140,28.0,0.0,"AI Overview, Image, Image pack, Video, People also ask, Related searches"
como se cura la disfagia,Informational,140,19.0,0.0,"AI Overview, Image, Image pack, Video, Video carousel, Related searches, Ads bottom"
por que siento algo en la garganta,Informational,140,34.0,0.0,"AI Overview, Image, Image pack, Video, Video carousel, People also ask, Related searches"
medicamentos para la disfagia,Informational,140,18.0,0.0,"Sitelinks, AI Overview, Image, Image pack, Video, People also ask, Related searches"
me duele al pasar saliva,Informational,140,33.0,0.0,"Sitelinks, AI Overview, Image, Image pack, Video, Related searches"
dolor al deglutir,Informational,140,23.0,0.0,"AI Overview, Image, Image pack, Video, Video carousel, People also ask, Related searches"
ejercicios para disfagia,Informational,140,22.0,0.0,"AI Overview, Image, Image pack, Video, Video carousel, People also ask, Related searches"
dolor de garganta por estres,Informational,140,25.0,0.0,"Featured snippet, Image, Image pack, People also ask, Related searches"
dificultad para deglutir termino medico,Informational,140,26.0,0.0,"AI Overview, Image, Image pack, Video, Video carousel, Related searches"
comida atorada en la garganta,Informational,140,28.0,0.0,"AI Overview, Image, Image pack"
odinofagia cie 10,Informational,110,23.0,0.0,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches"
dificultad para tragar alimentos codycross,"Informational, Transactional",110,7.0,0.0,"Image, Video, People also ask, Related searches"
disfagua,Informational,110,,0.0,"Sitelinks, AI Overview, Image, Image pack, Related searches"
como saber si tengo algo atorado en la garganta,Informational,110,26.0,0.0,"AI Overview, Image, Video, People also ask, Related searches"
disfagia esofagica tratamiento,Informational,110,16.0,0.0,"Sitelinks, AI Overview, Image, Image pack, Video, Video carousel, Related searches"
dinofagia,Informational,110,21.0,0.0,"AI Overview, Image, Image pack, Video, Related searches"
porque siento como un nudo en la garganta,Informational,110,27.0,0.0,"AI Overview, Image, Image pack, Video, People also ask, Related searches"
disfagia dibujo,Informational,110,28.0,0.0,"Image, Image pack, Video, Related searches"
disfagia dibujos,Informational,110,24.0,0.0,"Image, Image pack, Video, People also ask"
se cura la disfagia,Informational,110,16.0,0.0,"Sitelinks, AI Overview, Image, Image pack, Video, Video carousel, People also ask, Related searches"
disfagia gpc,Informational,110,24.0,0.0,"Image, Image pack, Video, Related searches"
porque cuando toso siento que me ahogo,Informational,110,26.0,0.0,"Sitelinks, AI Overview, Image, Image pack, Video, Video carousel, Related searches"
globo histerico cuanto dura,Informational,110,26.0,0.0,"Sitelinks, AI Overview, Image, Image pack, Video, Related searches"
porque siento en la garganta como si tuviera algo atorado,Informational,110,25.0,0.0,"AI Overview, Image, Image pack, Video, People also ask, Related searches"
porque siento que traigo algo atorado en la garganta,Informational,110,31.0,0.0,"AI Overview, Image, Video, People also ask, Related searches"
porque se siente una bola en la garganta,"Informational, Commercial",110,20.0,0.0,"AI Overview, Image, Video, Video carousel, Related searches"
disfagia cie 10,Informational,110,31.0,0.0,"AI Overview, Image pack, Video, People also ask, Related searches"
cómo saber si tengo algo atorado en la garganta,Informational,110,27.0,0.0,"AI Overview, Image, Video, People also ask, Related searches"
como quitar el nudo en la garganta por tristeza,Informational,110,19.0,0.0,"AI Overview, Image, Image pack, Video, Related searches"
siento algo atorado en el pecho,Informational,110,47.0,0.0,"Sitelinks, AI Overview, Image, Image pack, Video"
sensacion de obstruccion en la garganta,Informational,110,30.0,0.0,"AI Overview, Image, Image pack, Video, Related searches"
dolor al pasar la comida,Informational,110,45.0,0.0,"AI Overview, Image, Image pack, Video, Video carousel, People also ask, Related searches"
tapa en la base de la garganta,Informational,110,32.0,0.0,"AI Overview, Image, Image pack, Video, Related searches"
restos de comida en la garganta,Informational,110,22.0,0.0,"Sitelinks, AI Overview, Image, Video, Related searches"
algo atorado en la garganta,Informational,110,30.0,0.0,"AI Overview, Image, Image pack, Video, People also ask, Related searches"
siento que se me cierra la garganta,Informational,110,33.0,0.0,"AI Overview, Image, Video, Related searches"
como quitarse algo atorado en la garganta,Informational,110,30.0,0.0,"Sitelinks, AI Overview, Image, Video, People also ask, Related searches"
no puedo pasar saliva,Informational,110,24.0,0.0,"AI Overview, Image, Image pack, Video, Video carousel, Related searches"
porque no puedo vomitar si tengo ganas,Informational,110,19.0,0.0,"Sitelinks, AI Overview, Image, Video, Related searches"
disfagoa,Informational,110,42.0,0.0,"AI Overview, Image, Image pack, Related searches"
dificultad para comer,Informational,110,25.0,0.0,"Sitelinks, AI Overview, Image, Video, People also ask, Related searches"
que significa sentir algo atorado en la garganta,Informational,110,37.0,0.0,"Featured snippet, Image, Video, People also ask, Related searches"
disgafia,Informational,110,44.0,0.0,"AI Overview, Image, Image pack, Video, People also ask, Related searches"
presion en la garganta,Informational,110,36.0,0.0,"AI Overview, Image, Image pack, Video, Related searches"
disfagia orofaringea y esofagica,Informational,110,23.0,0.0,"Sitelinks, AI Overview, Image, Image pack, Video, Video carousel, Related searches"
disfagia esofagica sintomas,Informational,110,27.0,0.0,"AI Overview, Image, Image pack, Video, Video carousel, Knowledge panel, Related searches"
sentir un nudo en la garganta,Informational,110,26.0,0.0,"AI Overview, Image, Image pack, Video, People also ask, Related searches"
que es la disfagia y como se cura,Informational,110,12.0,0.0,"AI Overview, Image, Image pack, Video, Video carousel, Related searches"
pastilla atorada en la garganta,Informational,110,28.0,0.0,"AI Overview, Image, Video, Related searches"
disfagia por reflujo,Informational,110,26.0,0.0,"AI Overview, Image, Image pack, Video, Video carousel, People also ask, Related searches"
porque siento la garganta cerrada,Informational,110,34.0,0.0,"AI Overview, Image, Image pack, Video, Related searches"
que significa disfagia,Informational,110,44.0,0.0,"Video, Video carousel, Knowledge panel, Related searches"
opresion en la garganta,Informational,110,40.0,0.0,"Sitelinks, AI Overview, Image, Video, Related searches"
que significa deglutir en medicina,Informational,110,42.0,0.0,"AI Overview, Video, People also ask, Related searches"
odinofagia causas,Informational,90,21.0,0.0,"Sitelinks, AI Overview, Image, Image pack, Video, People also ask, Related searches"
me intentaron ahorcar y me duele la garganta,Informational,90,19.0,0.0,"Sitelinks, AI Overview, Image, Image pack, People also ask, Related searches"
la disfagia se cura,Informational,90,16.0,0.0,"AI Overview, Image, Image pack, Video, Video carousel, Related searches"
esofago y laringe,"Informational, Transactional",90,31.0,0.0,"AI Overview, Image, Image pack, Video, Video carousel, People also ask, Related searches"
sensación de algo atorado en la garganta después de comer,Informational,90,39.0,0.0,"Sitelinks, AI Overview, Image, Image pack, Video, People also ask, Related searches"
tengo un eructo atorado,Informational,90,35.0,0.0,"AI Overview, Image pack, Video, People also ask, Related searches"
dificultad para tragar saliva ansiedad,Informational,90,22.0,0.0,"Featured snippet, Sitelinks, Image, Video, People also ask, Related searches, Ads bottom"
que es el globo histerico,Informational,90,29.0,0.0,"Sitelinks, AI Overview, Image, Video, People also ask, Related searches"
tengo un nudo en la garganta,Informational,90,22.0,0.0,"AI Overview, Image, Image pack, Video, Related searches"
atraganto,Informational,90,,0.0,"AI Overview, Image pack"
obstruccion en la garganta,Informational,90,34.0,0.0,"Sitelinks, AI Overview, Image, Image pack, Video, Related searches"
que pasa si se te cierra la garganta,Informational,90,33.0,0.0,"Sitelinks, AI Overview, Image, Image pack, Video, Video carousel, Related searches"
porque me ahogo al comer,Informational,90,18.0,0.0,"AI Overview, Image, Image pack, Video, Video carousel, People also ask, Related searches"
ansiedad garganta,Informational,90,28.0,0.0,"Sitelinks, AI Overview, Image, Image pack, Video, Related searches"
fase de deglucion,Informational,90,26.0,0.0,"AI Overview, Image, Video, Related searches"
se cierra la garganta,Informational,90,41.0,0.0,"Sitelinks, AI Overview, Image, Image pack, Video, Video carousel, People also ask, Related searches"
paso saliva y me duele la garganta,Informational,90,19.0,0.0,"Sitelinks, AI Overview, Image, Image pack, Video, Related searches"
porque se me regresa la comida,Informational,90,44.0,0.23,"AI Overview, Image, Image pack, Video, Video carousel, Related searches, Ads bottom"
disfagia funcional,Informational,90,31.0,0.0,"AI Overview, Image, Image pack, Video, Related searches"
dolor de garganta emocional,Informational,90,11.0,0.0,"Sitelinks, AI Overview, Image, Image pack, Related searches"
ahogarse con saliva constantemente,Informational,90,18.0,0.0,"AI Overview, Image, Video, Related searches"
que es deglutir en medicina,Informational,70,25.0,0.0,"AI Overview, Video, People also ask, Related searches"
dibujo disfagia,Informational,70,,0.0,"Image, Image pack, Video, Related searches"
sentir algo atorado en el pecho,Informational,70,39.0,0.0,"AI Overview, Image, Image pack, Video, Related searches"
reflejo deglutorio,Informational,70,,0.0,"AI Overview, Image, Image pack, Video, Related searches"
porque siento como una bola en la garganta,Informational,70,14.0,0.0,"AI Overview, Image, Video, Video carousel, Related searches"
definicion de disfagia,Informational,70,41.0,0.0,"AI Overview, Image, Video, Video carousel, Related searches"
sensacion de garganta apretada,Informational,70,28.0,0.0,"Sitelinks, AI Overview, Image, Video, People also ask"
problemas para deglutir,Informational,70,18.0,0.0,"Sitelinks, AI Overview, Image, Image pack, Video, Video carousel, People also ask, Related searches"
que es disfagia esofagica,Informational,70,20.0,0.0,"AI Overview, Image, Image pack, Video, Video carousel, Related searches"
porque me duele al tragar,Informational,70,29.0,0.0,"Sitelinks, AI Overview, Image, Video, Video carousel, Related searches"
globo histérico en la garganta,Informational,70,26.0,0.0,"Sitelinks, AI Overview, Image, Image pack, Video, Related searches"
disfagia en niños,Informational,70,13.0,0.0,"AI Overview, Image, Video, Video carousel, People also ask, Related searches"
como sacar algo atorado en la garganta,Informational,70,,0.0,"AI Overview, Image, Image pack, Video, People also ask, Related searches"
sensación de tierra en la garganta,Informational,70,,0.0,"Sitelinks, AI Overview, Image, Image pack, Video, People also ask, Related searches"
dificultad para pasar saliva,Informational,50,21.0,0.0,"Sitelinks, AI Overview, Image, Image pack, Video, Related searches"
sensacion de cuerpo extraño en garganta,Informational,50,26.0,0.0,"Sitelinks, AI Overview, Image, Image pack, Video, Related searches"
que significa se me fue por el otro lado,Informational,50,,0.0,"AI Overview, Image pack, Video, People also ask, Related searches"
siento algo atorado en el pecho y eructo mucho,Informational,50,39.0,0.0,"AI Overview, Image, Video, Related searches"
porque me ahogo con mi saliva,Informational,50,27.0,0.0,"AI Overview, Image, Video, Related searches"
garganta tapada,Informational,50,40.0,0.0,"AI Overview, Image, Image pack, Video, Related searches"
dolor de cuello y garganta por estres,Informational,50,15.0,0.0,"Sitelinks, AI Overview, Image, Image pack, Video, Related searches"
paladear la garganta,Informational,50,21.0,0.0,"AI Overview, Image, Image pack, Video, People also ask"
siento opresion en la garganta,Informational,40,35.0,0.0,"Featured snippet, Image, Video, Video carousel, People also ask, Related searches"
via oral con deglucion,Informational,40,32.0,0.0,"Sitelinks, AI Overview, Image, Video, Video carousel, Knowledge panel, Related searches"
orofaringeas,Informational,40,30.0,0.0,"Sitelinks, AI Overview, Image, Image pack, Video, Related searches"
gases en la garganta,Informational,40,38.0,0.0,"AI Overview, Image, Image pack, Video, Video carousel, People also ask, Related searches"
asco a la comida causas,Informational,40,31.0,0.0,"Sitelinks, AI Overview, Image, Video, People also ask, Related searches"
